,キャラ名,台詞,立ち絵,SE,BGM,画面オブジェクト,画面効果,エフェクト,背景
212,京也,スマホは繋がらなかったけど、もしかしたらパソコンなら繋がるかもしれない……,K-01,,,,,,
213,京也,……ここも繋がらない,K-01,,,,,,
214,京也,あれ、ブックマークがある……えっ、怪異をまとめた掲示板！？,K-01,,,,,,
215,京也,そっか！ページをオフラインで保存してあるから見れるんだ！,K-01,,,,,,
216,京也,えーっと……何か参考になる書き込みは……,K-01,,,,,,
217,,似たような怪異って結構あるよな,K-01,,,,,,
218,,気になったからいくつかまとめてみた,K-01,,,,,,
219,,”テケテケ”,K-01,,,,,,
220,,下半身がない女性の幽霊で、腕を足のように使い移動してくる。,K-01,,,,,,
221,,テケテケは上半身のみで這いずり回って、自分の足を探している。,K-01,,,,,,
222,,出会ってしまうと、時速100kmのスピードで追いかけてくるので逃げるのはほぼ不可能,K-01,,,,,,
223,,対処法は主に以下の3つ。,K-01,,,,,,
224,,・3日以内に10人に伝える,K-01,,,,,,
225,,・地獄に落ちろと言う,K-01,,,,,,
226,,・直角に曲がる,K-01,,,,,,
227,,”さっちゃん”,K-01,,,,,,
228,,童謡で有名。4番以降を歌うと死ぬと言われている。,K-01,,,,,,
229,,事実かは不明だが、歌った男子2人が事故にあい、足をなくして死亡したという説がある。,K-01,,,,,,
230,,”かしまさん”,K-01,,,,,,
231,,話を知ってしまった者に、電話や夢で問いかけをする。,K-01,,,,,,
232,,問いかけに正しく答えられないと、体の一部を奪われて死ぬと言われている,K-01,,,,,,
233,,問いかけと正しい答え……,K-01,,,,,,
234,,「手をよこせ」→「今使ってます」,K-01,,,,,,
235,,「脚をよこせ」→「今必要です」,K-01,,,,,,
236,,「その話を誰から聞いた」→「かしまさん」,K-01,,,,,,
237,京也,これをメモすれば……！,K-01,,,,,,
238,京也,スマホのメモ帳に……って、あれ？,K-01,,,,,,
239,京也,も、もしかして……充電切れ……？,K-01,,,,,,
240,京也,くそっ！また歩き回らないと……,K-01,,,,,,
241,京也,うーん、メモとペンが必要だ,K-01,,,,,,
242,京也,……ここから近いのだと、美術室かな,K-01,,,,,,
