,キャラ名,台詞,立ち絵,SE,BGM,画面オブジェクト,画面効果,エフェクト,背景
192,京也,……よし。仕方ない、あいつから逃げるためだもんね！,K-01,,,,,,
193,京也,退学になりませんように！！！！！,K-01,,,,暗転,,
194,京也,ここが、閉鎖書架……,K-01,,,,,,閉鎖書架
195,京也,なんだか重々しい雰囲気だなぁ……あんまり長居はしたくないかも,K-01,,,,,,
196,京也,目的の本を探して、さっさと出よう……あ、これかな？,K-01,,,,,,
197,,都市伝説について,K-01,,,,,,
198,,都市伝説とは、近代あるいは現代に広がったとみられる口承の一種である。,K-01,,,,,,
199,,主に、出所が明確でなく、多くの人に広まっている噂話のことを言う。,K-01,,,,,,
200,京也,えっと、テケテケのページは……,K-01,,,,,,
201,,”テケテケ”,K-01,,,,,,
202,,テケテケは、下半身がない女の幽霊。腕で這いずって移動し、出会った人のことを追いかけまわすと言われている,K-01,,,,,,
203,,類似怪異……さっちゃん、かしまさん,K-01,,,,,,
204,京也,やっぱり、さっちゃんも関係してるんだ！,K-01,,,,,,
205,京也,でも、かしまさんも……？名前は覚えてるけど、どんな話だっけ,K-01,,,,,,
206,京也,……そうだ！インターネットで調べればもっと情報が出てくるんじゃないか？,K-01,,,,,,
207,京也,…………あれ、電波が……,K-01,,,,,,
208,京也,もしかして、ネットに繋がらなくなってる！？,K-01,,,,,,
209,京也,そんなぁ……確かに、怖い話だとスマホが使えないっていうのはよくある話だけど……,K-01,,,,,,
210,京也,パソコンでなら調べられたりしないかなぁ……,K-01,,,,,,
211,京也,あまり歩き回りたくはないけど、PC室に行ってみよう,K-01,,,,,,
