,キャラ名,台詞,立ち絵,SE,BGM,画面オブジェクト,画面効果,エフェクト,背景
166,京也,わっ、部長！,,,,,,,図書室
167,睦月,なんだ、京也か。驚いたよ……,,,,,,,
168,京也,それはこっちの台詞ですよ！,,,,,,,
169,睦月,あはは……それで、京也は何をしにきたのかな？,,,,,,,
170,京也,そうだ、忘れるところでした！,,,,,,,
171,京也,部誌をもう一度読んでみたら、新聞の切り抜きがあって……,,,,,,,
172,京也,この地域で、女子高生が下半身を失って死亡した事故があったみたいなんです,,,,,,,
173,京也,それで、図書室になら元の新聞があるんじゃないかと思って……,,,,,,,
174,睦月,なるほど。ちょっと待ってね……,,,,,,,
175,睦月,はい。多分、このあたりじゃないかな,,紙の束を置く,,,,,
176,京也,さすが部長！図書委員なだけあって、バックナンバーの場所も把握してるんですね,,,,,,,
177,睦月,はは、これくらいはね,,,,,,,
178,睦月,そうだ。それから、閉鎖書架に色々な怪異をまとめた本があったはずだ,,,,,,,
179,睦月,鍵がないと入れないけど……多分、職員室にあるんじゃないかな,,,,,,,
180,京也,閉鎖書架……わかりました、ありがとうございます,,,,,,,
181,京也,それじゃあ、俺は職員室に鍵を探しに行きます,,,,,,,
182,睦月,僕も部誌を読んでみるよ。それじゃあ、気を付けて,,,,,,,
