,キャラ名,台詞,立ち絵,SE,BGM,画面オブジェクト,画面効果,エフェクト,背景
154,京也,これは……さっきまで読んでた、過去の部誌だ,K-09,,,,,,部誌入手
155,京也,いつの物かは……掠れて読めないな……,K-18,,,,,,
156,京也,何か役に立ちそうな情報はないかな……,K-09,紙をめくる,,,,,
157,京也,……あ！これ、新聞の切り抜き？どれどれ……,K-10,,,,,,
158,京也,女子高生が大型トラックに轢かれ死亡、原因は運転手の居眠り運転”……,K-09,,,,,,
159,京也,”この時期から下半身のない女の幽霊が度々目撃されるようになった”,K-12,,,,,,
160,京也,女の幽霊……？あいつのことだ！！,K-11,,,,,,
161,京也,もっと詳しいことが知りたいけど……,K-14,,,,,,
162,京也,そうだ！新聞なら、図書室にもあるんじゃないか？,K-09,,,,,,
163,京也,よし……,K-05,,,,,,
164,京也,あいつは居ないみたいだ,K-14,,,,,,
165,京也,よし、今のうちに図書室に向かおう！,K-18,,,,,,
