,キャラ名,台詞,立ち絵,SE,BGM,画面オブジェクト,画面効果,エフェクト,背景
270,京也,っ……！,K-01,,,,,,
271,京也,みんな！連れてきました！,K-01,,,,,,
272,睦月,よし……いくぞ！,M-01,,,,,,
273,,"""カシマレイコ""！！！",,,,,,,
274,テケテケ,……！,,,,,,,
275,カシマレイコ,……ァ…………,,,,,暗転,,
276,朝陽,き、消えた……！,A-01,,,,,,
277,星南,終わった……ってことで、良いんだよね？,S-01,,,,,,
278,睦月,ああ……確かに消えたはずだ,M-01,,,,,,
279,京也,よ……良かったぁ……,K-01,,,,,,
280,朝陽,本当に、どうなるかと思ったよ……,A-01,,,,,,
281,星南,……うん。本当、良かった……,S-01,,,,,,
282,睦月,色々と話し合いたいことはあると思うけど、今日はひとまず解散にしようか,M-01,,,,,,
283,睦月,まだ本当に安全かどうかわからないからね,M-01,,,,,,
284,京也,はい、そうしましょう,K-01,,,,,,
285,京也,……家に、帰らないと。,K-01,,,,暗転,,
