,キャラ名,台詞,立ち絵,SE,BGM,画面オブジェクト,画面効果,エフェクト,背景
1,生徒A,ねえ、知ってる？空き教室の噂,,,,,,,廊下
2,生徒B,空き教室の噂？なにそれ,,,,,,,
3,生徒A,放課後になるとね、誰もいないはずの空き教室から話し声が聞こえるんだって！,,,,,,,
4,生徒A,その教室、普段は鍵がかかってるから誰も入れないはずなの……,,,,,,,
5,生徒B,やだ、こわーい！,,,,,,,
6,生徒B,私、今日も委員会で残らないといけないのに……,,,,,,,
7,睦月,(空き教室の噂……そんなものがあるのか),M-01,,,CI-M,,,
8,睦月,そういえば、今日の部活ではこっくりさんをやる予定だったかな,M-01,,,,,,
9,睦月,丁度いい。こっくりさんに、噂について聞いてみようか,M-01,,,,暗転,,
10,京也,あ、部長！やっと来た！,K-01,,,CI-K,,,教室
11,京也,俺たち待ちくたびれて、最恐怪異決定戦でもしようかって話してたんですよー！,K-13,,,,,,
12,睦月,ああ、待たせてしまってごめんね。……最恐怪異決定戦ってなんだ？,M-02,,,,,,
13,朝陽,過去の部誌を読んで、一番怖い怪談を決めようってことらしいですよ。,A-01,,,CI-A,,,
14,朝陽,まあ……乗り気なのは京也だけでしたけど,A-05,,,,,,
15,京也,えっ、なんでですかー！,K-02,,,,,,
16,星南,だって……ここにある部誌、何年分だと思ってるの？全部読んで決めてたら、明日までかかっちゃうよ,S-05,,,CI-S,,,
17,京也,それはそうですけど……,K-02,,,,,,
18,京也,それで部長、こんな時間まで何してたんですか？,K-01,,,,,,
19,睦月,そうそう、それについて話したかったんだ,M-01,,,,,,
20,睦月,この教室に向かう途中で、ある噂を聞いてね,M-01,,,,,,
21,朝陽,噂……？わざわざ部活で言うってことは、怪異に関係あるってこと？,A-04,,,,,,
22,睦月,察しが良いね。みんなは、”空き教室の噂”について聞いたことはあるかい,M-01,,,,,,
23,朝陽,空き教室……？,A-04,,,,,,
24,京也,空き教室なんて、この学校にあったっけ？,K-04,,,,,,
25,星南,あ……もしかして、話し声についてですか？,S-04,,,,,,
26,睦月,そうそう。朝陽と京也は知らないみたいだから、詳しく話そうか。,M-01,,,,,,
27,睦月,放課後になると、誰もいない教室から話し声が聞こえる。その教室は鍵がかかってるから、生徒は入れないはずなのに,M-03,,,,,,
28,星南,先生たちなら空き教室なんて使わずに会議室を使えばいいから……怪奇現象じゃないか、って言われてるらしい,S-01,,,,,,
29,朝陽,へぇ……そんな噂があったなんて,A-01,,,,,,
30,京也,初めて聞きました！この学校にもそんな噂があるんですね,K-01,,,,,,
31,睦月,気になるだろう？それで、今日の部活でやるのはこっくりさんだ。だから……,M-01,,,,,,
32,星南,……なるほど。こっくりさんに聞いてみるつもりなんですね、部長？,S-01,,,,,,
33,睦月,その通り！うまくいけば、もっと詳しいことも分かるかもしれない,M-01,,,,,,
34,京也,部長ってしっかりしてるし頼れるけど、結構好奇心旺盛ですよね……,K-02,,,,,,
35,朝陽,一番はしゃいでるなぁ……,A-04,,,,,,
36,京也,そうだ！今日はこっくりさんをやるって聞いてたので、紙と10円玉を用意しておいたんですよ。ほら！,K-01,,,,,,
37,朝陽,……京也も結構はしゃいでるね？,A-05,,,,,,
38,睦月,それじゃ始めるよ。儀式が始まったら、10円玉から指を離さないようにね,M-01,,,,,,
39,京也,はーい！,K-01,,,,,,
40,全員,……こっくりさん、こっくりさん。おいでになりましたら、北の窓からお入りください,,,,,,,
41,全員,こっくりさん、こっくりさん。いらっしゃいましたら、”はい”へ進んでください,,,,,暗転,,
42,朝陽,…………3分くらい待ったけど……,A-04,,,,,,
43,星南,来ないですね,S-05,,,,,,
44,京也,やっぱり迷信だったのかなぁ……,K-02,,,,,,
45,睦月,あはは、結局何も聞けなかったね……って、ん？,M-01,,,,,,
46,睦月,京也、何も起きなくて残念だったからって動かして遊ばないように,M-02,,,,,,
47,京也,……え？部長、俺は何もしてないですよ？,K-02,,,,,,
48,睦月,えっ……,M-04,,,,,,
49,睦月,朝陽、星南……,M-02,,,,,,
50,朝陽,私たちも……,A-04,,,,,,
51,星南,なにも、してない……です,S-05,,,,,,
52,睦月,じゃあ、本当にこっくりさんが来たのか！？,M-04,,,,,,
53,星南,10円玉……ずっと同じところをぐるぐる回ってる。えーっと……,S-05,,,,,,
54,朝陽,………………あ・そ・ぼ・う・よ……？,A-04,,,,,,
55,京也,うわっ……！,K-03,,,,,,
56,朝陽,ね、ねぇ……これ、もう噂について聞けるような状況じゃないでしょ……,A-05,,,,,,
57,京也,お、俺はもうお帰りいただきたいです……,K-02,,,,,,
58,睦月,そうだね、これは……儀式を終わらせようか,M-03,,,,,,
59,全員,こっくりさん、こっくりさん。どうか、お帰りください……,,,,,暗転,,
60,京也,……やっと終わった！,K-03,,,,,,
61,朝陽,10分くらいは経った気がする……ようやく帰ってもらえたね,A-05,,,,,,
62,星南,もう終われないかと思いました……,S-06,,,,,,
63,京也,それで、部長。まだ時間ありますけど、何しますか？,K-01,,,,,,
64,京也,えーっと……こっくりさん以外で……,K-02,,,,,,
65,睦月,うーん……そういえば、僕が来る前に部誌を読もうとしてたんだっけ？,M-03,,,,,,
66,睦月,せっかくだし、過去の部誌から面白い記事でも探そうか,M-01,,,,,,
67,京也,あっ、賛成です！,K-01,,,,,,
68,朝陽,それくらいなら、まあいいか,A-04,,,,,,
69,星南,じゃあ、何年分か持ってきますね,S-01,,,,,,
70,朝陽,うーん、信憑性がないような怪談ばっかり……,A-04,,,,,,
71,京也,……なんだ、これ？,K-02,,,,,,
72,京也,童謡……”さっちゃん”の、4番の歌詞だって。みんな、知ってますか？,K-01,,,,,,
73,星南,4番？さっちゃんって、確か3番までじゃなかったっけ,S-04,,,,,,
74,朝陽,え、そうなの？私、あんまり知らないんだよね……,A-06,,,,,,
75,睦月,うーん、聞いたことないな。,M-02,,,,,,
76,京也,ほら、ここ。,K-01,,,,,,
77,星南,どれどれ、えーっと……,S-01,,,,,,
78,,“さっちゃんはね、でんしゃで足をなくしたよ”,,,,,,,
79,,“だからおまえの足をもらいにいくよ”,,,,,,,
80,,“今夜だよ、行くよ”,,,,,,,
81,朝陽,ひっ……！な、なにこれ……,A-07,,,,,,
82,星南,不気味というか、悪趣味……,S-05,,,,,,
83,睦月,部誌によれば、聞いた人の元に現れるそうだけど……,M-03,,,,,,
84,睦月,まあ、都市伝説だからね。口裂け女や八尺様なんかと同じようなものじゃないかな,M-02,,,,,,
85,京也,うーん、所詮は噂だってわかってるんですけど……,K-02,,,,,,
86,京也,俺、こういう怪談が一番苦手なんですよね……,K-03,,,,,,
